Date,User,Message
2018-12-03 15:38:08,"Watchtower","Watchtower invited 최호철_멀린."
2018-12-03 15:38:08,"Watchtower","Watchtower invited Rich.진경."
2018-12-03 15:38:08,"Watchtower","Watchtower invited 김해연."
2018-12-03 15:38:08,"Watchtower","Watchtower invited 민시홍."
2018-12-03 15:38:08,"Watchtower","Watchtower invited 홍효선 Sharry."
2018-12-03 15:38:08,"Watchtower","Watchtower invited 시원 션 이."
2018-12-03 15:38:34,"정현석_hue","초대 다 되셨지요?"
2018-12-03 15:38:49,"정현석_hue","FT1팀 방입니다요~"
2018-12-03 15:38:55,"방승민 브레드","반갑습니다~"
2018-12-03 15:40:56,"정현석_hue","@멀린
4시에 에릭한테 연락주시고 촬영하시면 됩니다~"
2018-12-03 15:44:43,"최호철_멀린","네네"
2018-12-03 15:57:57,"최호철_멀린","촬영했습니다~"
2018-12-03 16:44:01,"정현석_hue","팀 티타임을 금주에 진행하는게 어떨까 싶은데요~
회의나 휴가 정해지신분 알려주시면 피해서 잡아봐요~"
2018-12-03 16:50:32,"김효원 hyo","금요일이 좋을거 같아요."
2018-12-03 17:17:35,"이현아","저는 5일 오전에 회의 잡혀있습니다~!"
2018-12-03 17:17:59,"이현아","이외 모두 가능할 것 같아요"
2018-12-03 17:18:18,"이현아","@hue 법인카드 상신은 아직인가요?ㅠ"
2018-12-03 17:22:55,"정현석_hue","네~
데이빗 문의 드렸는데...
11월 결재선은 발령 전이라.. 윌리가 하셔야 맞는건데... 위임을 하시는건지 확인이 필요하시다고 하네요............"
2018-12-03 17:31:09,"정현석_hue","결재선하고 UI개발팀에서 업무툴을 사용하고 있어서 같이 작성할지는 오늘 확정이 안되면 내일 오전 중에 확정해서 알려드릴게요"
2018-12-03 17:32:02,"정현석_hue","금요일 티탐 하게 되면 안되시는 시간대 있는분 공유해주세요~"
2018-12-03 17:39:44,"정현석_hue","카카오페이지 베스트셀러4탄 작업이 왔는데요
수,목 작업 가능하신분? 금요일 오전 10시 배포입니다"
2018-12-03 17:43:04,"Rich.진경","기안상신 내일 하면 되는 부분인가유"
2018-12-03 17:43:29,"정현석_hue","반려되면 다시 작성이 귀찮으실테니.. 내일 결정되고나서 작성하시는게 좋지 않을까 싶어유~"
2018-12-03 17:43:44,"Rich.진경","넵~"
2018-12-03 17:44:58,"정현석_hue","@레비
기업사이트 구축 마크업일정 캘린더에 잘못되어있어요~ 수정해주세요~"
2018-12-03 17:45:35,"정현석_hue","수,목 작업 가능하신분이 루카스밖에 없는것 같은데 카카오페이지 베스트셀러 드리면 되나요?"
2018-12-03 17:46:16,"정현석_hue","@케리
배송서비스 같이 하시기로 하셨던거 같은데 같이 확인해주세요~"
2018-12-03 17:48:29,"루카스","@휴 내일 (12월 04일 화요일) 오후 반차입니다~"
2018-12-03 18:22:19,"Rich.진경","pulse 주소 바뀐지 모르는 브래드를 위한"
2018-12-03 18:22:20,"Rich.진경","https://ksv.kakaocorp.com"
2018-12-03 18:34:46,"정현석_hue","주간회의때 윌리가 말씀하셨던
기술지원실에서 프로젝트 진단 보고를 진행할 예정이에요~
우리팀은 차주 금요일로 잡혔네요"
2018-12-03 18:34:48,"정현석_hue","사진"
2018-12-03 18:35:27,"정현석_hue","https://dkt.agit.in/g/300027013/wall/317779939
 
모두 참석이니 일정 조율 미리 하시는게 좋을 것 같습니다~"
2018-12-03 18:52:15,"정현석_hue","@스칼렛, 레비, 브래드
RPP에 11월 사용된 모든 리소스 알려주세요
알려주실 때 Point로 주세요"
2018-12-03 18:52:43,"정현석_hue","시작 날짜도 알려주세요~"
2018-12-03 19:08:53,"방승민 브레드","11-22 /  0.25P / Rpp 히스토리 설명
11-26 / 0.75P / Rpp 정기 주간회의 
11-27 / 2.5P / Rpp WBS 일정산출"
2018-12-03 19:12:32,"김효원 hyo","휴랑 저녁 먹으러 먼저 갑니다"
2018-12-03 19:14:11,"서주희_Levi","@휴
https://docs.google.com/spreadsheets/d/1UGwvMhCgPQJSptSFCo7gd5dh3rZIrN-ctctpegirM-0/edit?usp=sharing"
2018-12-03 19:17:13,"Rich.진경","휴효휴효"
2018-12-03 19:17:17,"Rich.진경","둘이 무슨 관계야..."
2018-12-03 19:29:06,"김해연","@휴 작업 리소스 관련하여 레비가 작성한 곳에 취합하여 기입하였습니다 ~"
2018-12-03 21:33:01,"정현석_hue","@션, 브랜드
카카오페이지 기업사이트 구축 프론트 일정은
전체가 12/13로 되어있어요
구축을 12/10일까지 캘린더 등록하시고
QA 이어서 3일 12/13일까지 등록하시면 되요"
2018-12-04 09:13:35,"Watchtower","Watchtower invited 이원주 / Willy."
2018-12-04 09:18:46,"이원주 / Willy","이원주 / Willy님이 나갔습니다."
2018-12-04 09:37:43,"정현석_hue","잉?"
2018-12-04 09:50:23,"정현석_hue","결재선 정리됐어요~
저한테 올리시면 됩니다~ 휴가도요~"
2018-12-04 09:52:03,"정현석_hue","그리고 FT팀에 계신 4분도 UI에서 사용하던 업무툴을 같이 사용할건데요
디아하고 멀린은 기존등록이 되어있어서 다시 활성화시켰고 효하고 저스틴은 등록됐어요 사용법은 따로 말씀드릴게요"
2018-12-04 09:52:30,"이현아","그럼 기존과 동일하게 포인트단위로 기입해야해요?"
2018-12-04 09:52:36,"정현석_hue","등록할려면 서비스 카테고리가 추가되어야해요
이것도 따로 설명드릴게요
취합해서 전달주세요"
2018-12-04 09:53:18,"정현석_hue","네 우선은 포인트단위로 하시고 회사 대부분이 MD단위를 사용하고 있어서 해당부분은 건의했었어요
내년에 시스템 구축이 되면 바뀔예정이라고 전달 받았습니다"
2018-12-04 09:53:53,"이현아","MD단위가 어떤 단위를 뜻하나요?"
2018-12-04 09:54:25,"정현석_hue","맨데이 1명이 하루 일했을때(8시간) 1을 기입하는 단위를 말해요"
2018-12-04 09:55:18,"이현아","넵"
2018-12-04 09:58:06,"정현석_hue","WBS작성 하게되면 보시게될 단위들이라..
MM은 1명이 한달(약21일) 일할 경우 1을 기입하는 단위고 1TO(똑같이 한달 1명 풀투입)와 같은 의미인데
 
실제 사용할 때 1TO는 투입에서 빠지지 못하는 고정 1명을 투입할 때 사용하고, 1MM은 MD기준으로 약 21일을 채울 수 있는 투입변경이 가능한 리소스 단위로 관용적으로 사용됩니다~"
2018-12-04 10:04:12,"김해연","저~~~~~십분 정도 늦을꺼 같아영ㅜ"
2018-12-04 10:04:29,"최호철_멀린","저두요"
2018-12-04 10:04:34,"정현석_hue","넵~"
2018-12-04 10:07:24,"이현아","휴 업무관리툴 비밀번호가 맞지 않다고 뜨는데요"
2018-12-04 10:08:08,"이현아","LDAP기준아닌가요?"
2018-12-04 10:09:06,"Rich.진경","초기번호가 공통일텐데 아마 그거 아닐까요 0000 이런거던가.."
2018-12-04 10:10:56,"민시홍","그때 언제 툴 업데이트 되면서였나 다들 비번 안맞은적 있었는데..."
2018-12-04 10:11:23,"Rich.진경","엘답이랑 같지는 않긴 했어요 아마"
2018-12-04 10:12:12,"이현아","@hyo 확인부탁드려요"
2018-12-04 10:12:17,"이현아","아아 @hue 죄송.."
2018-12-04 10:12:38,"이현아","UI팀에서 WBS산정하는 양식이 있을까요?"
2018-12-04 10:12:45,"정현석_hue","토기가 1234에요"
2018-12-04 10:12:49,"정현석_hue","초기"
2018-12-04 10:12:50,"이현아","FT에서 진행중인 WBS도 옮겨두어야할 것 같은데"
2018-12-04 10:13:06,"이현아","넵 확인했습니다 감사해요"
2018-12-04 10:13:58,"정현석_hue","현재 양식이 따로 있지는 않고 공동체클러스터에서도 WBS를 이제 막 사용하는 단계라 참고할수있게 시트를 모으고는 있어요"
2018-12-04 10:14:28,"정현석_hue","그리고 차주 금요일에 기술지원실에서 보고피티를 하겠지만 WBS는 전사 공통으로 문서양식이 만들어질 예정이에요"
2018-12-04 10:14:36,"이현아","오 그렇군요"
2018-12-04 10:17:28,"최호철_멀린","멀린 비번좀 리셋해주세요"
